Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Arian Foster*+\FostAr00,HOU,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,,,330,393,400.5,360.0,192,1,1
2,Peyton Hillis\HillPe00,CLE,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,,,244,297,306.9,266.4,106,2,2
3,Adrian Peterson*\PeteAd01,MIN,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,,,242,277,283.4,258.9,104,3,3
4,Jamaal Charles*+\CharJa00,KAN,RB,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,,,242,284,291.0,261.0,103,4,4
5,Chris Johnson*\JohnCh04,TEN,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,,,233,274,281.4,251.9,95,5,5
6,Brandon Lloyd*\LloyBr00,DEN,WR,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,,,209,286,289.0,247.5,92,1,6
7,Dwayne Bowe*\BoweDw00,KAN,WR,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,,,207,278,281.1,241.6,89,2,7
8,Darren McFadden\McFaDa00,OAK,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,,,226,269,277.4,245.9,88,6,8
9,Roddy White*+\WhitRo00,ATL,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,2,,203,317,320.7,259.7,86,3,9
10,Michael Vick*\VickMi00,PHI,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,,1,316,305,322.8,311.3,85,1,10
11,Rashard Mendenhall\MendRa00,PIT,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,,,222,243,250.0,231.5,84,7,11
12,LeSean McCoy\McCoLe01,PHI,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,,,221,297,304.2,258.2,83,8,12
13,Greg Jennings*\JennGr00,GNB,WR,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,,,198,272,276.4,234.4,81,4,13
