Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
14,Matt Forte\FortMa00,CHI,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,1,,218,266,273.1,240.1,80,10,14
15,Michael Turner*\TurnMi00,ATL,RB,28,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,,,218,228,231.6,221.6,80,9,15
16,Ray Rice\RiceRa00,BAL,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,,,214,277,282.6,245.1,76,11,16
17,Aaron Rodgers\RodgAa00,GNB,QB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,,,306,302,321.5,313.5,75,2,17
18,Mike Wallace\WallMi00,PIT,WR,24,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,,,190,249,252.1,218.6,72,5,18
19,Calvin Johnson*\JohnCa00,DET,WR,25,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,1,,189,265,268.7,226.7,72,6,19
20,Tom Brady*+\BradTo00,NWE,QB,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,,,301,298,306.5,302.0,70,3,20
21,Ahmad Bradshaw\BradAh00,NYG,RB,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,1,,205,245,254.4,221.4,67,12,21
22,Maurice Jones-Drew*\DrewMa00,JAX,RB,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,,,204,236,244.1,220.1,66,13,22
23,Steven Jackson*\JackSt00,STL,RB,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,,,198,243,249.9,220.4,60,14,23
24,Jason Witten*+\WittJa00,DAL,TE,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,1,,156,249,252.7,202.2,60,1,24
25,Philip Rivers*\RivePh00,SDG,QB,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,,1,290,283,302.1,295.6,58,4,25
26,Peyton Manning*\MannPe00,IND,QB,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,,0,,,288,285,306.3,301.8,57,5,26
27,Reggie Wayne*+\WaynRe00,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,,,172,282,285.0,226.0,54,7,27
28,Hakeem Nicks\NickHa01,NYG,WR,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,,,171,249,252.7,209.7,54,8,28
29,Andre Johnson*\JohnAn02,HOU,WR,29,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,,,171,256,259.1,212.6,53,9,29
30,Steve Johnson\JohnSt00,BUF,WR,24,16,13,0,0,0,0,0,0,0,,0,141,82,1073,13.09,10,,,167,248,251.8,207.3,50,10,30
31,BenJarvus Green-Ellis\GreeBe00,NWE,RB,25,16,11,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,,,187,199,202.3,193.3,49,15,31
32,Mike Williams\WillMi04,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,129,65,964,14.83,11,,,162,224,228.9,191.9,45,11,32
33,Miles Austin*\AustMi00,DAL,WR,26,16,16,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,,,161,229,232.9,194.9,44,12,33
34,Jeremy Maclin\MaclJe00,PHI,WR,22,16,16,0,0,0,0,0,3,36,12.00,0,115,70,964,13.77,10,,,160,229,232.5,194.0,43,13,34
35,Drew Brees*\BreeDr00,NOR,QB,31,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7.00,0,,,273,265,294.7,286.7,42,6,35
36,Antonio Gates*\GateAn00,SDG,TE,30,10,10,0,0,0,0,0,0,0,,0,65,50,782,15.64,10,,,138,188,191.2,163.2,42,2,36
37,Cedric Benson\BensCe00,CIN,RB,28,16,16,0,0,0,0,0,321,1111,3.46,7,37,28,178,6.36,1,1,,179,200,209.4,185.9,41,16,37
38,DeSean Jackson*\JackDe00,PHI,WR,24,14,14,0,0,0,0,0,16,104,6.50,1,95,47,1056,22.47,6,,,158,207,215.0,183.5,41,14,38
39,Vernon Davis\DaviVe00,SFO,TE,26,16,16,0,0,0,0,0,0,0,,0,93,56,914,16.32,7,1,,135,191,194.4,163.4,39,3,39
40,Terrell Owens\OwenTe00,CIN,WR,37,14,11,0,0,0,0,0,0,0,,0,139,72,983,13.65,9,,,152,224,227.3,188.3,35,15,40
41,Larry Fitzgerald*\FitzLa00,ARI,WR,27,16,15,0,0,0,0,0,0,0,,0,173,90,1137,12.63,6,1,,152,242,244.7,196.7,34,16,41
42,Marcedes Lewis*\LewiMa00,JAX,TE,26,16,16,0,0,0,0,0,0,0,,0,89,58,700,12.07,10,,,130,186,190.0,157.0,34,4,42
43,Josh Freeman\FreeJo00,TAM,QB,22,16,16,291,474,3451,25,6,68,364,5.35,0,0,0,0,,0,1,,264,257,272.9,263.4,33,7,43
44,Mario Manningham\MannMa01,NYG,WR,24,16,8,0,0,0,0,0,1,2,2.00,0,93,60,944,15.73,9,,,149,208,211.1,177.6,31,17,44
45,Santana Moss\MossSa00,WAS,WR,31,16,16,0,0,0,0,0,5,-6,-1.20,0,145,93,1115,11.99,6,,,147,237,241.4,190.4,30,18,45
46,Matt Ryan*\RyanMa00,ATL,QB,25,16,16,357,571,3705,28,9,46,122,2.65,0,0,0,0,,0,,2,258,254,271.4,263.4,27,8,46
47,Marques Colston\ColsMa00,NOR,WR,27,15,11,0,0,0,0,0,1,1,1.00,0,131,84,1023,12.18,7,,,144,228,231.4,186.4,27,19,47
48,LaDainian Tomlinson\TomlLa00,NYJ,RB,31,15,13,0,0,0,0,0,219,914,4.17,6,79,52,368,7.08,0,,,164,213,220.7,187.2,26,17,48
49,Knowshon Moreno\MoreKn00,DEN,RB,23,13,13,0,0,0,0,0,182,779,4.28,5,48,37,372,10.05,3,,,163,197,204.6,178.6,25,18,49
50,Mike Tolbert\TolbMi00,SDG,RB,25,15,4,0,0,0,0,0,182,735,4.04,11,29,25,216,8.64,0,1,,163,183,191.6,170.6,25,19,50
51,Frank Gore\GoreFr00,SFO,RB,27,11,11,0,0,0,0,0,203,853,4.20,3,72,46,452,9.83,2,,,161,203,210.5,179.5,22,20,51
52,Matt Schaub\SchaMa00,HOU,QB,29,16,16,365,574,4370,24,12,22,28,1.27,0,0,0,0,,0,,1,252,243,262.1,254.6,20,9,52
53,Rob Gronkowski\GronRo00,NWE,TE,21,16,11,0,0,0,0,0,0,0,,0,59,42,546,13.00,10,,,115,156,159.1,134.6,18,5,53
54,Percy Harvin\HarvPe00,MIN,WR,22,14,13,0,0,0,0,0,18,107,5.94,1,109,71,868,12.23,5,1,,136,212,218.0,176.0,18,20,54
55,Fred Jackson\JackFr02,BUF,RB,29,16,13,0,0,0,0,0,222,927,4.18,5,54,31,215,6.94,2,,,156,182,190.7,166.7,18,21,55
56,Braylon Edwards\EdwaBr00,NYJ,WR,27,16,15,0,0,0,0,0,1,4,4.00,0,101,53,904,17.06,7,1,,135,187,190.3,160.3,17,21,56
57,Kenny Britt\BritKe00,TEN,WR,22,12,7,0,0,0,0,0,0,0,,0,73,42,775,18.45,9,1,,134,175,178.0,153.5,16,22,57
58,Eli Manning\MannEl00,NYG,QB,29,16,16,339,539,4002,31,25,32,70,2.19,0,0,0,0,,0,,,241,234,265.6,259.1,10,10,58
59,Wes Welker*\WelkWe00,NWE,WR,29,15,11,0,0,0,0,0,0,0,,0,123,86,848,9.86,7,,,127,213,215.3,169.8,9,23,59
60,Johnny Knox\KnoxJo00,CHI,WR,24,16,16,0,0,0,0,0,1,2,2.00,0,100,51,960,18.82,5,,,126,176,179.7,150.7,9,24,60
61,Chris Cooley\CoolCh00,WAS,TE,28,16,16,0,0,0,0,0,0,0,,0,126,77,849,11.03,3,1,,105,179,183.4,140.4,9,6,61
62,Anquan Boldin\BoldAn00,BAL,WR,30,16,16,1,1,-6,0,0,2,2,1.00,0,109,64,837,13.08,7,,,126,189,192.2,156.7,8,25,62
63,Joe Flacco\FlacJo00,BAL,QB,25,16,16,306,489,3622,25,10,43,84,1.95,1,0,0,0,,0,,,239,230,247.8,240.3,8,11,63
64,Lance Moore\MoorLa00,NOR,WR,27,16,1,0,0,0,0,0,0,0,,0,94,66,763,11.56,8,,,124,188,192.3,155.3,7,26,64
65,Kellen Winslow\WinsKe01,TAM,TE,27,16,11,0,0,0,0,0,0,0,,0,98,66,730,11.06,5,,,103,168,171.5,135.0,7,7,65
66,Tony Gonzalez*\GonzTo00,ATL,TE,34,16,16,0,0,0,0,0,0,0,,0,108,70,656,9.37,6,,,102,172,174.6,136.6,5,8,66
67,Derrick Mason\MasoDe00,BAL,WR,36,16,15,0,0,0,0,0,0,0,,0,100,61,802,13.15,7,,,122,183,186.2,152.7,5,27,67
68,Brandon Jacobs\JacoBr00,NYG,RB,28,16,5,0,0,0,0,0,147,823,5.60,9,13,7,59,8.43,0,,,142,147,151.2,143.7,4,22,68
69,Dustin Keller\KellDu00,NYJ,TE,26,16,13,0,0,0,0,0,0,0,,0,100,55,687,12.49,5,,,99,154,156.7,126.2,3,9,69
70,Zach Miller*\MillZa01,OAK,TE,25,15,15,0,0,0,0,0,0,0,,0,92,60,685,11.42,5,,,99,158,161.0,127.5,2,10,70
71,Brandon Marshall\MarsBr00,MIA,WR,26,14,14,0,1,0,0,0,2,3,1.50,0,146,86,1014,11.79,3,,,120,204,207.7,160.7,2,28,71
72,Jahvid Best\BestJa00,DET,RB,21,16,9,0,1,0,0,0,171,555,3.25,4,80,58,487,8.40,2,,,140,197,203.7,168.2,2,23,72
73,Aaron Hernandez\HernAa00,NWE,TE,21,14,7,0,0,0,0,0,3,47,15.67,0,64,45,563,12.51,6,,,97,142,145.0,119.5,1,11,73
74,Deion Branch\BranDe00,2TM,WR,31,15,12,0,0,0,0,0,0,0,,0,92,61,818,13.41,6,,,118,178,181.3,147.3,,29,74
75,Marquis Johnson\JohnMa99,STL,,22,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,,,,2,75
76,LeGarrette Blount\BlouLe00,TAM,RB,24,13,7,0,0,0,0,0,201,1007,5.01,6,7,5,14,2.80,0,,,138,139,144.1,136.6,,24,76
77,John Paul Foschi\FoscJo00,CIN,,28,2,1,0,0,0,0,0,0,0,,0,,0,0,,0,,,,,,,,3,77
78,Mike Thomas\ThomMi01,JAX,WR,23,16,11,0,0,0,0,0,12,114,9.50,0,102,66,820,12.42,4,,,117,186,193.9,153.4,,30,78
79,Matt Cassel*\CassMa00,KAN,QB,28,15,15,262,450,3116,27,7,33,125,3.79,0,0,0,0,,0,,,231,228,242.6,235.1,,12,
80,Carson Palmer\PalmCa00,CIN,QB,31,16,16,362,586,3970,26,20,32,50,1.56,0,0,0,0,,0,,1,230,223,249.3,242.8,,13,
81,David Garrard\GarrDa00,JAX,QB,32,14,14,236,366,2734,23,15,66,279,4.23,5,0,0,0,,0,,,229,218,244.8,233.3,,14,
82,Jay Cutler\CutlJa00,CHI,QB,27,15,15,261,432,3274,23,16,50,232,4.64,1,0,0,0,,0,,1,222,212,239.2,228.2,,15,
83,Kyle Orton\OrtoKy00,DEN,QB,28,13,13,293,498,3653,20,9,22,98,4.45,0,0,0,0,,0,,,218,214,227.9,222.9,,16,
84,Ben Roethlisberger\RoetBe00,PIT,QB,28,12,12,240,389,3200,17,5,34,176,5.18,2,0,0,0,,0,,,216,210,223.6,214.6,,17,
85,Ryan Fitzpatrick\FitzRy00,BUF,QB,28,13,13,255,441,3000,23,15,40,269,6.73,0,0,0,0,,0,,,209,201,225.9,215.9,,18,
86,Mark Sanchez\SancMa00,NYJ,QB,24,16,16,278,507,3291,17,13,30,105,3.50,3,0,0,0,,0,,1,204,195,218.6,208.1,,19,
87,Sam Bradford\BradSa00,STL,QB,23,16,16,354,590,3512,18,15,27,63,2.33,1,0,0,0,,0,,,195,188,209.3,202.8,,20,
88,Donovan McNabb\McNaDo00,WAS,QB,34,13,13,275,472,3377,14,15,29,151,5.21,0,0,0,0,,0,,,176,166,192.2,181.2,,21,
89,Shaun Hill\HillSh00,DET,QB,30,11,10,257,416,2686,16,12,22,123,5.59,0,0,0,0,,0,,1,162,159,178.2,170.7,,22,
90,Jason Campbell\CampJa00,OAK,QB,29,13,12,194,329,2387,13,8,47,222,4.72,1,0,0,0,,0,,,160,151,169.2,158.7,,23,
91,Chad Henne\HennCh01,MIA,QB,25,15,14,301,490,3301,15,19,35,52,1.49,0,0,0,0,,0,,,159,154,178.7,173.2,,25,
92,Jon Kitna\KitnJo00,DAL,QB,38,10,9,209,318,2365,16,12,31,147,4.74,1,0,0,0,,0,,2,159,153,174.3,165.3,,24,
93,Matt Hasselbeck\HassMa00,SEA,QB,35,14,14,266,444,3001,12,17,23,60,2.61,3,0,0,0,,0,,,158,151,174.5,168.0,,26,
94,Alex Smith\SmitAl03,SFO,QB,26,11,10,204,342,2370,14,10,18,60,3.33,0,0,0,0,,0,,1,139,135,149.8,144.8,,27,
95,Thomas Jones\JoneTh00,KAN,RB,32,16,10,0,0,0,0,0,245,896,3.66,6,20,14,122,8.71,0,,,138,149,156.3,141.8,,25,
96,Felix Jones\JoneFe00,DAL,RB,23,16,7,0,0,0,0,0,185,800,4.32,1,52,48,450,9.38,1,,,137,183,190.0,159.0,,26,
97,Michael Bush\BushMi00,OAK,RB,26,14,3,0,0,0,0,0,158,655,4.15,8,24,18,194,10.78,0,,,133,151,156.9,141.9,,27,
98,Brandon Jackson\JackBr00,GNB,RB,25,16,13,0,0,0,0,0,190,703,3.70,3,50,43,342,7.95,1,,,129,171,177.0,149.0,,29,
99,Danny Woodhead\WoodDa02,2TM,RB,25,15,3,0,0,0,0,0,97,547,5.64,5,44,34,379,11.15,1,,,129,162,168.1,144.6,,28,
100,Ronnie Brown\BrowRo05,MIA,RB,29,16,16,0,2,0,0,0,200,734,3.67,5,43,33,242,7.33,0,,,128,158,165.1,141.1,,30,
101,Marshawn Lynch\LyncMa00,2TM,RB,24,16,14,0,0,0,0,0,202,737,3.65,6,26,22,145,6.59,0,,,124,142,150.2,131.2,,32,
102,Ryan Mathews\MathRy00,SDG,RB,23,12,9,0,0,0,0,0,158,678,4.29,7,26,22,145,6.59,0,,,124,141,149.8,130.3,,31,
103,Ryan Torain\ToraRy00,WAS,RB,24,10,8,0,0,0,0,0,164,742,4.52,4,27,18,125,6.94,2,,,123,139,145.7,129.7,,33,
104,Tim Hightower\HighTi00,ARI,RB,24,16,13,0,0,0,0,0,153,736,4.81,5,42,21,136,6.48,0,,,117,133,141.7,122.7,,34,
105,Kerry Collins\CollKe00,TEN,QB,38,10,7,160,278,1823,14,8,10,1,0.10,0,0,0,0,,0,,1,115,110,123.5,118.0,,28,
106,Pierre Garcon\GarcPi00,IND,WR,24,14,14,0,0,0,0,0,2,6,3.00,0,119,67,784,11.70,6,,,115,182,185.0,148.5,,31,
107,Austin Collie\CollAu00,IND,WR,25,9,6,0,0,0,0,0,0,0,,0,71,58,649,11.19,8,,,113,170,173.4,140.9,,32,
108,Davone Bess\BessDa00,MIA,WR,25,16,8,0,0,0,0,0,2,-3,-1.50,0,125,79,820,10.38,5,,,112,188,192.2,148.2,,34,
109,Santonio Holmes\HolmSa00,NYJ,WR,26,12,10,0,0,0,0,0,2,17,8.50,0,96,52,746,14.35,6,,,112,162,166.3,136.3,,33,
110,Michael Crabtree\CrabMi00,SFO,WR,23,16,15,0,0,0,0,0,0,0,,0,101,55,741,13.47,6,,,110,165,168.1,137.6,,35,
111,Malcom Floyd\FloyMa00,SDG,WR,29,11,9,0,0,0,0,0,0,0,,0,77,37,717,19.38,6,,,108,144,147.2,125.2,,36,
112,Nate Burleson\BurlNa00,DET,WR,29,14,14,0,0,0,0,0,7,81,11.57,0,86,55,625,11.36,6,,,107,160,163.6,132.1,,38,
113,Brett Favre\FavrBr00,MIN,QB,41,13,13,217,358,2509,11,19,17,8,0.47,0,0,0,0,,0,,,107,100,125.7,119.2,,29,
114,Chad Johnson\JohnCh01,CIN,,32,14,12,0,1,0,0,0,0,0,,0,126,67,831,12.40,4,,,107,174,177.1,140.6,,37,
115,Anthony Armstrong\ArmsAn00,WAS,WR,27,15,11,0,0,0,0,0,0,0,,0,86,44,871,19.80,3,,,105,148,151.6,126.1,,40,
116,Jonathan Stewart\StewJo00,CAR,RB,23,14,7,0,0,0,0,0,178,770,4.33,2,14,8,103,12.88,1,,,105,109,117.3,105.3,,35,
117,Hines Ward\WardHi00,PIT,WR,34,16,15,0,0,0,0,0,1,-2,-2.00,0,95,59,755,12.80,5,,,105,163,166.8,133.8,,39,
118,Nate Washington\WashNa00,TEN,WR,27,16,16,0,0,0,0,0,1,-8,-8.00,0,94,42,687,16.36,6,,,104,146,148.9,124.9,,41,
119,Chris Ivory\IvorCh00,NOR,RB,22,12,4,0,0,0,0,0,137,716,5.23,5,1,1,17,17.00,0,,,103,100,105.3,99.8,,36,
120,Shonn Greene\GreeSh00,NYJ,RB,25,15,2,0,0,0,0,0,185,766,4.14,2,24,16,120,7.50,0,,,101,114,121.1,105.6,,37,
121,Jabar Gaffney\GaffJa00,DEN,WR,30,16,11,0,0,0,0,0,0,0,,0,112,65,875,13.46,2,,,100,164,167.0,131.0,,42,
122,Tony Romo\RomoTo00,DAL,QB,30,6,6,148,213,1605,11,7,6,38,6.33,0,0,0,11,,0,,,99,99,109.1,106.1,,30,
123,Tim Tebow\TeboTi00,DEN,QB,23,9,3,41,82,654,5,3,43,227,5.28,6,0,0,0,,0,,,99,98,107.4,100.9,,31,
124,Ricky Williams\WillRi00,MIA,RB,33,16,0,0,0,0,0,0,159,673,4.23,2,30,19,141,7.42,1,,,99,114,122.4,104.9,,38,
125,James Jones\JoneJa04,GNB,WR,26,16,3,0,0,0,0,0,0,0,,0,87,50,679,13.58,5,,,98,145,149.4,119.9,,44,
126,Mike Sims-Walker\WalkMi01,JAX,WR,26,14,13,0,0,0,0,0,0,0,,0,80,43,562,13.07,7,,,98,140,143.7,118.7,,43,
127,Cadillac Williams\WillCa02,TAM,RB,28,16,9,0,0,0,0,0,125,437,3.50,2,64,46,355,7.72,1,,,97,142,148.7,119.2,,39,
128,Vince Young\YounVi00,TEN,QB,27,9,8,93,156,1255,10,3,25,125,5.00,0,0,0,0,,0,,,97,91,102.7,93.7,,32,
129,Brandon Pettigrew\PettBr00,DET,TE,25,16,16,0,0,0,0,0,0,0,,0,111,71,722,10.17,4,,,96,167,170.2,131.7,,12,
130,Danny Amendola\AmenDa00,STL,WR,25,16,6,0,0,0,0,0,7,81,11.57,0,123,85,689,8.11,3,,,95,178,182.0,135.5,,46,
131,Derek Anderson\AndeDe00,ARI,QB,27,12,9,169,327,2065,7,10,5,25,5.00,0,0,0,0,,0,,1,95,89,105.1,99.1,,33,
132,Robert Meachem\MeacRo00,NOR,WR,26,16,7,0,0,0,0,0,4,14,3.50,0,66,44,638,14.50,5,,,95,139,142.2,117.2,,45,
133,Mike Goodson\GoodMi00,CAR,RB,23,16,3,0,0,0,0,0,103,452,4.39,3,57,40,310,7.75,0,,,94,129,137.7,109.2,,40,
134,Ben Watson\WatsBe00,CLE,TE,30,16,16,0,0,0,0,0,1,-1,-1.00,0,102,68,763,11.22,3,,,94,162,165.2,128.2,,13,
135,Jason Snelling\SnelJa00,ATL,RB,27,14,0,0,0,0,0,0,87,324,3.72,2,51,44,303,6.89,3,,,93,135,141.7,112.7,,41,
136,Dez Bryant\BryaDe01,DAL,WR,22,12,2,0,0,0,0,0,1,0,0.00,0,73,45,561,12.47,6,,,92,147,151.1,124.6,,48,
137,Rashad Jennings\JennRa00,JAX,RB,25,13,3,0,0,0,0,0,84,459,5.46,4,35,26,223,8.58,0,,,92,118,124.2,105.2,,42,
138,Kevin Walter\WaltKe00,HOU,WR,29,16,16,0,0,0,0,0,0,0,,0,80,51,621,12.18,5,,,92,143,146.1,117.6,,47,
139,Darren Sproles\SproDa00,SDG,RB,27,16,3,0,0,0,0,0,50,267,5.34,0,75,59,520,8.81,2,,,91,147,154.2,117.2,,43,
140,Justin Forsett\ForsJu00,SEA,RB,25,16,5,0,0,0,0,0,118,523,4.43,2,51,33,252,7.64,0,,,90,123,128.5,106.0,,44,
141,Todd Heap\HeapTo00,BAL,TE,30,13,13,0,0,0,0,0,0,0,,0,64,40,599,14.98,5,,,90,129,132.4,108.9,,14,
142,Colt McCoy\McCoCo00,CLE,QB,24,8,8,135,222,1576,6,9,28,136,4.86,1,1,1,13,13.00,0,,,90,90,105.4,98.4,,34,
143,Jacoby Ford\FordJa01,OAK,WR,23,16,9,0,0,0,0,0,10,155,15.50,2,54,25,470,18.80,2,,,87,127,134.0,114.0,,51,
144,Eddie Royal\RoyaEd00,DEN,WR,24,16,10,0,0,0,0,0,6,61,10.17,0,105,59,627,10.63,3,,,87,142,146.8,112.3,,50,
145,Jacob Tamme\TammJa00,IND,RB,25,16,8,0,0,0,0,0,0,0,,0,93,67,631,9.42,4,,,87,154,157.1,120.6,,45,
146,Keiland Williams\WillKe03,WAS,RB,24,15,3,0,0,0,0,0,65,261,4.02,3,58,39,309,7.92,2,,,87,125,131.5,105.5,,46,
147,Mike Williams\WillMi03,SEA,WR,26,14,13,0,0,0,0,0,1,0,0.00,0,110,65,751,11.55,2,,,87,152,155.1,119.6,,49,
148,Joseph Addai\AddaJo00,IND,RB,27,8,7,0,0,0,0,0,116,495,4.27,4,26,19,124,6.53,0,,,86,103,109.9,93.4,,47,
149,Roy Williams\WillRo04,DAL,WR,29,15,9,0,0,0,0,0,0,0,,0,64,37,530,14.32,5,1,,85,119,123.5,100.5,,52,
150,Josh Morgan\MorgJo00,SFO,WR,25,16,11,0,0,0,0,0,2,17,8.50,0,80,44,698,15.86,2,,,84,126,129.5,103.5,,53,
151,Kevin Boss\BossKe00,NYG,TE,26,15,13,0,0,0,0,0,0,0,,0,70,35,531,15.17,5,,,83,117,120.6,99.6,,15,
152,Steve Breaston\BreaSt00,ARI,WR,27,13,11,1,2,17,0,0,3,35,11.67,0,87,47,718,15.28,1,,,82,129,138.0,111.5,,54,
153,Donald Brown\BrowDo00,IND,RB,23,13,8,0,0,0,0,0,129,497,3.85,2,28,20,205,10.25,0,,,82,102,108.2,92.2,,48,
154,Lee Evans\EvanLe00,BUF,WR,29,13,13,0,0,0,0,0,0,0,,0,84,37,578,15.62,4,,,82,117,120.8,98.3,,55,
155,Donald Driver\DrivDo00,GNB,WR,35,15,15,0,0,0,0,0,0,0,,0,85,51,565,11.08,4,,,81,131,134.0,105.0,,56,
156,Maurice Morris\MorrMa00,DET,RB,31,14,7,0,0,0,0,0,90,336,3.73,5,31,25,170,6.80,0,,,81,105,111.1,92.1,,49,
157,Willis McGahee\McGaWi00,BAL,RB,29,15,2,0,0,0,0,0,100,380,3.80,5,17,14,55,3.93,1,,,80,92,95.5,84.5,,50,
158,Ben Obomanu\ObomBe00,SEA,WR,27,15,6,0,0,0,0,0,2,17,8.50,0,49,30,494,16.47,4,2,,79,109,112.1,94.1,,57,
159,Brian Westbrook\WestBr00,SFO,RB,31,14,5,0,0,0,0,0,77,340,4.42,4,24,16,150,9.38,1,,,79,95,101.0,87.0,,51,
160,Jordan Shipley\ShipJo00,CIN,WR,25,15,4,0,0,0,0,0,0,0,,0,74,52,600,11.54,3,,,78,130,133.0,104.0,,58,
161,Anthony Fasano\FasaAn00,MIA,TE,26,15,15,0,0,0,0,0,0,0,,0,60,39,528,13.54,4,,,77,116,118.8,96.3,,16,
162,Brandon Gibson\GibsBr00,STL,WR,23,14,12,0,0,0,0,0,3,28,9.33,0,91,53,620,11.70,2,,,77,130,132.8,103.3,,61,
163,Jacoby Jones\JoneJa03,HOU,WR,26,15,7,0,0,0,0,0,2,7,3.50,0,78,51,562,11.02,3,1,,77,127,130.4,101.4,,60,
164,Louis Murphy\MurpLo00,OAK,WR,23,14,9,0,0,0,0,0,1,43,43.00,0,78,41,609,14.85,2,,,77,116,120.2,95.7,,59,
165,Troy Smith\SmitTr02,SFO,QB,26,6,6,73,145,1176,5,4,23,121,5.26,1,0,0,0,,0,,,77,71,84.1,75.1,,35,
166,Joel Dreessen\DreeJo00,HOU,TE,28,16,10,0,0,0,0,0,0,0,,0,55,36,518,14.39,4,,,76,111,114.3,92.8,,17,
167,Earl Bennett\BennEa00,CHI,WR,23,14,3,0,0,0,0,0,2,9,4.50,0,71,46,561,12.20,3,,,75,120,123.5,97.0,,62,
168,Brent Celek\CeleBr00,PHI,TE,25,16,15,0,0,0,0,0,0,0,,0,79,42,511,12.17,4,,,75,117,120.1,96.1,,18,
169,Devin Hester*+\HestDe99,CHI,WR,28,16,13,0,0,0,0,0,7,30,4.29,0,73,40,475,11.88,4,,,75,133,135.5,112.5,,63,
170,John Kuhn\KuhnJo00,GNB,RB,28,16,2,0,0,0,0,0,84,281,3.35,4,18,15,97,6.47,2,,,74,88,91.3,80.3,,52,
171,Tony Moeaki\MoeaTo00,KAN,TE,23,15,15,0,0,0,0,0,0,0,,0,73,47,556,11.83,3,,,74,121,123.6,97.1,,19,
